date,open,high,low,close,volume,adj_close,log_return,simple_return,vix_open,vix_high,vix_low,vix_close,vix_return,vix_change,rv_cc,rv_parkinson,rv_gk,rv_rs,rv_yz,vrp_cc,vrp_parkinson,vrp_gk,vrp_rs,vrp_yz,rv_daily,rv_weekly,rv_monthly
1990-01-02,353.3999938964844,359.69000244140625,351.9800109863281,359.69000244140625,162070000,359.69000244140625,NA,NA,17.239999771118164,17.239999771118164,17.239999771118164,17.239999771118164,NA,NA,17.28560501225533,16.126975051957086,15.65311543535432,16.203486064839833,15.029852320210699,-0.04560524113716724,1.1130247191610785,1.5868843357638447,1.0365137062783312,2.2101474509074652,NA,NA,NA
1990-01-03,359.69000244140625,360.5899963378906,357.8900146484375,358.760009765625,192330000,358.760009765625,-0.002588887687124064,-0.0025855394074589173,18.190000534057617,18.190000534057617,18.190000534057617,18.190000534057617,0.053639769930649006,0.9500007629394531,17.40117138265629,16.243232509960094,15.76986128005911,16.305894041422416,15.124842669895349,0.7888291514013268,1.9467680240975227,2.4201392539985065,1.8841064926352011,3.065157864162268,4.109731795444481,NA,NA
1990-01-04,358.760009765625,358.760009765625,352.8900146484375,355.6700134277344,177000000,355.6700134277344,-0.008650296055993323,-0.008612989892349748,19.219999313354492,19.219999313354492,19.219999313354492,19.219999313354492,0.0550793459265857,1.029998779296875,17.179398622194554,15.927942567762535,15.413938491999362,15.878987622777593,14.7288579935278,2.0406006911599377,3.2920567455919567,3.80606082135513,3.3410116905768987,4.491141319826692,13.731919278744714,NA,NA
1990-01-05,355.6700134277344,355.6700134277344,351.3500061035156,352.20001220703125,158530000,352.20001220703125,-0.009804141692825397,-0.009756237775744246,20.110000610351563,20.110000610351563,20.110000610351563,20.110000610351563,0.04526586631863694,0.8900012969970703,17.004213232287636,15.893728328901894,15.43999604627273,15.9501054006185,14.794824558109958,3.1057873780639262,4.216272281449669,4.670004564078832,4.159895209733062,5.315176052241604,15.563592442593485,NA,NA
1990-01-08,352.20001220703125,354.239990234375,350.5400085449219,353.7900085449219,140110000,353.7900085449219,0.004504310201034478,0.00451446985457794,20.260000228881836,20.260000228881836,20.260000228881836,20.260000228881836,0.007431275982554997,0.14999961853027344,17.442321081200816,16.363386851468213,15.923753249505419,16.501292130791462,15.30608766338665,2.8176791476810195,3.8966133774136225,4.336246979376417,3.7587080980903735,4.953912565495186,7.150370771897148,NA,NA
1990-01-09,353.8299865722656,354.1700134277344,349.6099853515625,349.6199951171875,155210000,349.6199951171875,-0.011856704505531113,-0.011786690768585949,22.200000762939453,22.200000762939453,22.200000762939453,22.200000762939453,0.09144381312711047,1.9400005340576172,16.993378734735888,16.340627549776933,16.081827299335526,16.734919745037576,15.522786563213653,5.206622028203565,5.85937321316252,6.118173463603927,5.465081017901877,6.6772141997258,18.821934894248628,13.061959635265577,NA
1990-01-10,349.6199951171875,349.6199951171875,344.32000732421875,347.30999755859375,175990000,347.30999755859375,-0.006629090560708484,-0.006607166611908088,22.440000534057617,22.440000534057617,22.440000534057617,22.440000534057617,0.010752781208978934,0.23999977111816406,16.857948423069107,16.098373396957218,15.796585172670257,16.3487711061701,15.164624444179001,5.58205211098851,6.341627137100399,6.64341536138736,6.091229427887516,7.275376089878616,10.523355025296224,13.761722661966969,NA
1990-01-11,347.30999755859375,350.1400146484375,347.30999755859375,348.5299987792969,154390000,348.5299987792969,0.0035065603506980736,0.003512715525838849,20.049999237060547,20.049999237060547,20.049999237060547,20.049999237060547,-0.11261598875311973,-2.3900012969970703,17.19933079918785,16.168997149509067,15.754363758404768,16.23015741227637,15.054602267258135,2.850668437872695,3.8810020875514795,4.295635478655779,3.819841824784177,4.995396969802412,5.566491987111923,12.564595330444167,NA
1990-01-12,348.5299987792969,348.5299987792969,339.489990234375,339.92999267578125,183880000,339.92999267578125,-0.024984613692642377,-0.024675081438144706,24.639999389648438,24.639999389648438,24.639999389648438,24.639999389648438,0.20614199819382284,4.590000152587891,15.008014112683016,15.42974542828185,15.59103073932246,16.356595024835723,15.171881654912225,9.631985276965422,9.210253961366588,9.048968650325978,8.283404364812714,9.468117734736213,39.66184466025054,20.59214311927628,NA
1990-01-15,339.92999267578125,339.94000244140625,336.57000732421875,337,140590000,337,-0.008656762161967535,-0.008619400285092881,26.34000015258789,26.34000015258789,26.34000015258789,26.34000015258789,0.06671758821358775,1.7000007629394531,14.753916685254218,15.376404682049513,15.611648624392943,16.410067343354626,15.221480826679034,11.586083467333673,10.963595470538378,10.728351528194947,9.929932809233264,11.118519325908856,13.742183903759967,21.250419325241307,NA
